===== 新約 ntqt（共 849 篇）=====
  總計：已上傳 849 / 已生成未上傳 0 / 未生成 0
  卷 | 書卷 | 篇數 | 已上傳 | 已生成未上傳 | 未生成
  1 | 馬太福音 | 97 | 97 | 0 | 0
  2 | 馬可福音 | 61 | 61 | 0 | 0
  3 | 路加福音 | 120 | 120 | 0 | 0
  4 | 約翰福音 | 104 | 104 | 0 | 0
  5 | 使徒行傳 | 91 | 91 | 0 | 0
  6 | 羅馬書 | 52 | 52 | 0 | 0
  7 | 哥林多前書 | 45 | 45 | 0 | 0
  8 | 哥林多後書 | 25 | 25 | 0 | 0
  9 | 加拉太書 | 14 | 14 | 0 | 0
  10 | 以弗所書 | 20 | 20 | 0 | 0
  11 | 腓立比書 | 14 | 14 | 0 | 0
  12 | 歌羅西書 | 17 | 17 | 0 | 0
  13 | 帖撒羅尼迦前書 | 14 | 14 | 0 | 0
  14 | 帖撒羅尼迦後書 | 4 | 4 | 0 | 0
  15 | 提摩太前書 | 11 | 11 | 0 | 0
  16 | 提摩太後書 | 12 | 12 | 0 | 0
  17 | 提多書 | 7 | 7 | 0 | 0
  18 | 腓利門書 | 2 | 2 | 0 | 0
  19 | 希伯來書 | 33 | 33 | 0 | 0
  20 | 雅各書 | 11 | 11 | 0 | 0
  21 | 彼得前書 | 13 | 13 | 0 | 0
  22 | 彼得後書 | 6 | 6 | 0 | 0
  23 | 約翰壹書 | 13 | 13 | 0 | 0
  24 | 約翰貳書 | 1 | 1 | 0 | 0
  25 | 約翰參書 | 1 | 1 | 0 | 0
  26 | 猶大書 | 4 | 4 | 0 | 0
  27 | 啟示錄 | 57 | 57 | 0 | 0

===== 舊約 otqt（共 1862 篇）=====
  總計：已上傳 41 / 已生成未上傳 1511 / 未生成 310
  卷 | 書卷 | 篇數 | 已上傳 | 已生成未上傳 | 未生成
  1 | 創世記 | 115 | 41 | 74 | 0
  2 | 出埃及記 | 93 | 0 | 93 | 0
  3 | 利未記 | 63 | 0 | 63 | 0
  4 | 民數記 | 92 | 0 | 92 | 0
  5 | 申命記 | 86 | 0 | 86 | 0
  6 | 約書亞記 | 50 | 0 | 50 | 0
  7 | 士師記 | 49 | 0 | 49 | 0
  8 | 路得記 | 12 | 0 | 12 | 0
  9 | 撒母耳記上 | 70 | 0 | 70 | 0
  10 | 撒母耳記下 | 52 | 0 | 52 | 0
  11 | 列王紀上 | 61 | 0 | 61 | 0
  12 | 列王紀下 | 62 | 0 | 62 | 0
  13 | 歷代志上 | 41 | 0 | 41 | 0
  14 | 歷代志下 | 62 | 0 | 62 | 0
  15 | 以斯拉記 | 15 | 0 | 15 | 0
  16 | 尼希米記 | 30 | 0 | 30 | 0
  17 | 以斯帖記 | 14 | 0 | 14 | 0
  18 | 約伯記 | 77 | 0 | 77 | 0
  19 | 詩篇 | 258 | 0 | 257 | 1
  20 | 箴言 | 59 | 0 | 59 | 0
  21 | 傳道書 | 20 | 0 | 20 | 0
  22 | 雅歌 | 7 | 0 | 7 | 0
  23 | 以賽亞書 | 122 | 0 | 122 | 0
  24 | 耶利米書 | 119 | 0 | 43 | 76
  25 | 耶利米哀歌 | 14 | 0 | 0 | 14
  26 | 以西結書 | 91 | 0 | 0 | 91
  27 | 但以理書 | 29 | 0 | 0 | 29
  28 | 何西阿書 | 17 | 0 | 0 | 17
  29 | 約珥書 | 6 | 0 | 0 | 6
  30 | 阿摩司書 | 13 | 0 | 0 | 13
  31 | 俄巴底亞書 | 2 | 0 | 0 | 2
  32 | 約拿書 | 5 | 0 | 0 | 5
  33 | 彌迦書 | 11 | 0 | 0 | 11
  34 | 那鴻書 | 6 | 0 | 0 | 6
  35 | 哈巴谷書 | 4 | 0 | 0 | 4
  36 | 西番雅書 | 5 | 0 | 0 | 5
  37 | 哈該書 | 3 | 0 | 0 | 3
  38 | 撒迦利亞書 | 19 | 0 | 0 | 19
  39 | 瑪拉基書 | 8 | 0 | 0 | 8

===== 已知插隊上傳（勿重生重傳；新規則之後不再發生）=====
  （無）
